id,dish,grams,kcal,prot,fat,carb,eaten_at,deleted,created_at,updated_at,eaten_day,imageurl,mailid,ingridients,description,sugar,fiber,sodium,glycemicindex,saturatedfat,vitamins,minerals,healthbenefits,healthconcerns,overallhealthscore,recommendedintakedescr,packageinfo,targetlanguage,originalresult,issafeforuser,allergenid,allergenname,messageallergen,recommendedintakemaxfrequency,portionsize,quantity,quantityeaten,totalmultiplier,basegrams,preparationmethod,addon_sauce,addon_sugar,addon_oil,addon_cream,addon_cheese,addon_nuts,webhook_data,scan_id,scan_timestamp,scan_date
30,Поджаренный сэндвич,100.00,300.00,25.00,25.00,45.00,,false,2025-06-02 13:20:32.817315+00,2025-06-02 13:20:32.817315+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748867413495.jpg?alt=media&token=361d2d82-8d8a-463a-b23b-5eab900443f3,2025053023182565303@nutrichecker.top,"[{""name"": ""поджаренный хлеб""}, {""name"": ""салат""}, {""name"": ""помидор""}, {""name"": ""красный лук""}, {""name"": ""нарезанная ветчина""}, {""name"": ""сыр""}]","Один большой сэндвич, разрезанный пополам",5.00,6.00,1.20,55,10.00,"[""B vitamins"", ""C"", ""K"", ""A""]","[""Iron"", ""Calcium"", ""Potassium"", ""Zinc""]","[[""Хороший источник белка""]]","[""Может быть высоким по содержанию натрия из-за обработанного мяса и сыра"", ""Умеренное содержание насыщенных жиров""]",68,"Подходит для сбалансированного обеда или легкого ужина, может регулярно употребляться как часть разнообразной диеты.",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748867433168,,
31,Банан,100.00,100.00,1.30,0.30,27.00,,false,2025-06-02 13:20:53.903712+00,2025-06-02 13:20:53.903712+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748869976099.jpg?alt=media&token=6cd5f468-cf0f-4a39-82de-dc2be899d6d3,2025053023182565303@nutrichecker.top,"[{""name"": ""банан""}]",Один средний банан на тарелке,14.00,3.10,0.00,51,0.10,"[""C"", ""B6""]","[""Potassium"", ""Magnesium""]","[[""Хороший источник калия""]]","[""Относительно высокое содержание натуральных сахаров, но сбалансированное клетчаткой""]",90,"Отлично подходит для быстрого перекуса или в составе завтрака, подходит для ежедневного употребления.",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748869994165,,
32,Банан,100.00,100.00,1.30,0.30,27.00,,false,2025-06-02 13:21:54.691751+00,2025-06-02 13:21:54.691751+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748869976099.jpg?alt=media&token=6cd5f468-cf0f-4a39-82de-dc2be899d6d3,2025053023182565303@nutrichecker.top,"[{""name"": ""банан""}]",Один средний банан на тарелке,14.00,3.10,0.00,51,0.10,"[""C"", ""B6""]","[""Potassium"", ""Magnesium""]","[[""Хороший источник калия""]]","[""Относительно высокое содержание натуральных сахаров, но сбалансированное клетчаткой""]",90,"Отлично подходит для быстрого перекуса или в составе завтрака, подходит для ежедневного употребления.",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748869994165,,
33,Банан,200.00,200.00,2.60,0.60,54.00,,false,2025-06-02 13:22:14.212157+00,2025-06-02 13:22:14.212157+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748869976099.jpg?alt=media&token=6cd5f468-cf0f-4a39-82de-dc2be899d6d3,2025053023182565303@nutrichecker.top,"[{""name"": ""банан""}]",Один средний банан на тарелке,28.00,6.20,0.00,51,0.10,"[""C"", ""B6""]","[""Potassium"", ""Magnesium""]","[[""Хороший источник калия""]]","[""Относительно высокое содержание натуральных сахаров, но сбалансированное клетчаткой""]",90,"Отлично подходит для быстрого перекуса или в составе завтрака, подходит для ежедневного употребления.",,ru,,true,,,,ежедневно,regular,2,all,2.000,100,,0,0,0,0,0,0,,food_analysis_1748869994165,,
34,Банан,100.00,100.00,1.30,0.30,27.00,,false,2025-06-04 15:53:50.114469+00,2025-06-04 15:53:50.114469+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748869976099.jpg?alt=media&token=6cd5f468-cf0f-4a39-82de-dc2be899d6d3,2025053023182565303@nutrichecker.top,"[{""name"": ""банан""}]",Один средний банан на тарелке,14.00,3.10,0.00,51,0.10,"[""C"", ""B6""]","[""Potassium"", ""Magnesium""]","[[""Хороший источник калия""]]","[""Относительно высокое содержание натуральных сахаров, но сбалансированное клетчаткой""]",90,"Отлично подходит для быстрого перекуса или в составе завтрака, подходит для ежедневного употребления.",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748869994165,,
35,Banana,200.00,210.00,2.60,0.80,54.00,,false,2025-06-05 02:38:50.56631+00,2025-06-05 02:38:50.56631+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749091097873.jpg?alt=media&token=564343f7-5ab5-416c-85b9-ae64dbb68130,2025060423344681850@nutrichecker.top,"[{""name"": ""banana""}]",One medium banana on a plate,28.00,6.20,0.00,51,0.10,"[""C"", ""B6""]","[""Potassium"", ""Magnesium""]","[[""Good source of potassium for heart health""]]",[],90,Can be consumed daily as part of a healthy and balanced diet,,ru,,true,,,,daily,regular,2,all,2.000,100,,0,0,0,0,0,0,,food_analysis_1749091116581,,
36,Сэндвич с индейкой и овощами,100.00,300.00,25.00,8.00,35.00,,false,2025-06-06 00:19:26.179102+00,2025-06-06 00:19:26.179102+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749169128565.jpg?alt=media&token=7409da4d-8aac-4b68-909e-bb8468250828,2025060519333988633@nutrichecker.top,"[{""name"": ""цельнозерновой хлеб""}, {""name"": ""нарезанная грудка индейки""}, {""name"": ""салат""}, {""name"": ""помидор""}]","Один целый сэндвич, разрезанный пополам",5.00,6.00,0.80,55,2.00,"[""A"", ""C"", ""K"", ""B6"", ""B12""]","[""Iron"", ""Potassium"", ""Zinc"", ""Selenium""]","[[""Хороший источник нежирного белка""]]","[""Умеренное содержание натрия в зависимости от используемой индейки и хлеба""]",85,"Отличный выбор для сбалансированного питания, подходит для ежедневного употребления как часть здоровой диеты.",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749169149353,,
37,Сэндвич с индейкой,100.00,400.00,28.00,15.00,35.00,,false,2025-06-06 14:12:11.861655+00,2025-06-06 14:12:11.861655+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749176255429.jpg?alt=media&token=6c830f70-8d08-4644-92d2-8679644830ee,2025060521563166367@nutrichecker.top,"[{""name"": ""цельнозерновой хлеб""}, {""name"": ""нарезанная грудка индейки""}, {""name"": ""салат""}, {""name"": ""помидор""}]","Один сэндвич, разрезанный пополам",3.00,6.00,1.00,50,3.00,"[""B3"", ""B6"", ""B12"", ""C"", ""K""]","[""Iron"", ""Zinc"", ""Selenium"", ""Potassium""]","[[""Высокое содержание белка""]]","[""Может быть с высоким содержанием натрия в зависимости от мясной нарезки из индейки""]",80,Может употребляться как сбалансированный прием пищи на обед или ужин,,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749176274767,,
38,Банан,100.00,105.00,1.30,0.40,27.00,,false,2025-06-06 14:45:19.306954+00,2025-06-06 14:45:19.306954+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749221092112.jpg?alt=media&token=c0d7a73c-15b2-4247-916c-92e89b4f4995,2025060611433897080@nutrichecker.top,"[{""name"": ""банан""}]",Один средний банан,14.00,3.10,0.00,55,0.10,"[""C"", ""B6""]","[""Potassium"", ""Manganese""]","[[""Хороший источник калия""]]","[""Умеренное содержание сахара для тех, кто следит за потреблением сахара""]",90,Может употребляться как здоровый перекус или часть сбалансированного питания,,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749221107308,,
39,Сладкое печенье с овсом и изюмом,33.00,340.00,8.20,12.50,45.10,,false,2025-06-06 23:44:39.651303+00,2025-06-06 23:44:39.651303+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749253423263.jpg?alt=media&token=fbf33fd0-4058-4c78-be68-f170ed3eea6e,2025060610563760851@nutrichecker.top,"[{""name"": ""обогащенная пшеничная мука""}, {""name"": ""овсяные хлопья быстрого приготовления""}, {""name"": ""изюм""}, {""name"": ""сахар""}, {""name"": ""маргарин""}, {""name"": ""гидрогенизированный говяжий жир""}, {""name"": ""гидрогенизированное растительное масло""}, {""name"": ""глюкоза""}, {""name"": ""кукурузный сироп с высоким содержанием фруктозы""}, {""name"": ""глицерин (увлажнитель)""}, {""name"": ""бикарбонат натрия (разрыхлитель)""}, {""name"": ""бикарбонат аммония (разрыхлитель)""}, {""name"": ""соевый лецитин (эмульгатор)""}, {""name"": ""соль""}, {""name"": ""ароматизатор""}, {""name"": ""BHT (антиоксидант)""}, {""name"": ""карамель (краситель)""}]",Полная упаковка сладкого печенья с овсом и изюмом,10.90,4.80,0.56,,4.00,[],[],"[[""Хороший источник пищевых волокон""]]","[""Высокое содержание сахара"", ""Содержит гидрогенизированные жиры"", ""Содержит искусственные красители"", ""Содержит множественные аллергены (пшеница, овес, яйцо, соя, арахис, миндаль, производные молока)""]",45,"Лучше употреблять в умеренных количествах как случайное лакомство из-за высокого содержания сахара и жира. Не подходит для людей с аллергией на пшеницу, овес, яйцо, сою, арахис, миндаль или молоко.",,ru,,true,,,,изредка,regular,1,third,0.330,100,,0,0,0,0,0,0,,food_analysis_1749253450967,,
40,Сэндвич с индейкой и цельнозерновым хлебом,100.00,300.00,22.00,10.00,35.00,,false,2025-06-07 00:32:57.71293+00,2025-06-07 00:32:57.71293+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749256320028.jpg?alt=media&token=85567ef5-fb95-4981-9aa3-e0ae94cd1bbc,2025060611433897080@nutrichecker.top,"[{""name"": ""цельнозерновой хлеб""}, {""name"": ""нарезанная грудка индейки""}, {""name"": ""салат""}, {""name"": ""помидор""}]",Один цельный сэндвич (две половинки),4.00,6.00,0.70,60,2.50,"[""A"", ""C"", ""B6"", ""B12""]","[""Iron"", ""Potassium"", ""Zinc""]","[[""Хороший источник нежирного белка""]]","[""Содержание натрия может варьироваться в зависимости от обработанной индейки и хлеба""]",80,"Сбалансированный и здоровый вариант приема пищи, подходящий для ежедневного употребления в рамках разнообразного рациона.",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749256340182,,
41,Latte,100.00,180.00,10.00,9.00,15.00,,false,2025-06-07 12:18:40.841919+00,2025-06-07 12:18:40.841919+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749298611337.jpg?alt=media&token=02e1ae4d-2b33-4013-a6aa-fa508b2cba9e,2025052813545040996@nutrichecker.top,"[{""name"": ""coffee""}, {""name"": ""milk""}, {""name"": ""sugar""}]",Standard mug of latte,15.00,,0.10,30,5.00,"[""D"", ""B12""]","[""Calcium"", ""Potassium""]","[[""Source of calcium""]]","[""Can be high in sugar if added"", ""Moderate fat content depending on milk choice""]",60,"Can be consumed daily as part of a balanced diet, preferably without excessive added sugar.",,ru,,true,,,,daily,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749298627846,,
42,CoolBest 100% Juice Strawberry Hill,100.00,90.00,1.00,0.00,22.00,,false,2025-06-07 12:50:09.721281+00,2025-06-07 12:50:09.721281+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749300571025.jpg?alt=media&token=15db57a1-1b8a-4c0f-8848-842daef2060d,2025052813545040996@nutrichecker.top,"[{""name"": ""strawberry juice""}, {""name"": ""orange juice""}, {""name"": ""other fruit juices (from concentrate)""}]",Small carton of fruit juice,20.00,1.00,0.01,45,0.00,"[""C""]","[""Potassium""]","[[""Good source of Vitamin C""]]","[""High natural sugar content"", ""Low fiber compared to whole fruit""]",60,Can be consumed as part of a balanced diet in moderation.,,ru,,true,,,,daily,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749300598773,,
43,Сэндвич с индейкой и цельнозерновым хлебом,100.00,300.00,22.00,10.00,35.00,,false,2025-06-07 17:34:24.139213+00,2025-06-07 17:34:24.139213+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749256320028.jpg?alt=media&token=85567ef5-fb95-4981-9aa3-e0ae94cd1bbc,2025060611433897080@nutrichecker.top,"[{""name"": ""цельнозерновой хлеб""}, {""name"": ""нарезанная грудка индейки""}, {""name"": ""салат""}, {""name"": ""помидор""}]",Один цельный сэндвич (две половинки),4.00,6.00,0.70,60,2.50,"[""A"", ""C"", ""B6"", ""B12""]","[""Iron"", ""Potassium"", ""Zinc""]","[[""Хороший источник нежирного белка""]]","[""Содержание натрия может варьироваться в зависимости от обработанной индейки и хлеба""]",80,"Сбалансированный и здоровый вариант приема пищи, подходящий для ежедневного употребления в рамках разнообразного рациона.",,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749256340182,,
44,Апельсин,500.00,330.00,6.50,1.00,82.50,,false,2025-06-07 23:35:23.618748+00,2025-06-07 23:35:23.618748+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749339249168.jpg?alt=media&token=cacc67fc-f516-453a-947c-6c561890b722,2025060610563760851@nutrichecker.top,"[{""name"": ""апельсин""}]",Один средний апельсин,67.50,17.00,0.00,43,0.00,"[""C"", ""Folate"", ""Thiamine""]","[""Potassium"", ""Calcium""]","[[""Отличный источник витамина С""]]",[],95,Можно употреблять ежедневно в качестве полезного перекуса или части приема пищи,,ru,,true,,,,ежедневно,regular,5,all,5.000,100,,0,0,0,0,0,0,,food_analysis_1749339308935,,
45,Смесь для хлопьев с овсяными хлопьями и печеньем с изюмом,25.00,245.00,4.00,11.30,37.50,,false,2025-06-08 00:32:35.599388+00,2025-06-08 00:32:35.599388+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749342578662.jpg?alt=media&token=b308b749-5f90-4ddb-bbec-28a90fb58aef,2025060611433897080@nutrichecker.top,"[{""name"": ""овсяное зерно""}, {""name"": ""подсолнечное масло с высоким содержанием олеиновой кислоты""}, {""name"": ""изюм""}, {""name"": ""пшеничная мука""}, {""name"": ""сахар""}, {""name"": ""разрыхлитель""}, {""name"": ""соль""}]",Полная упаковка печенья,17.50,2.00,0.30,55,5.00,"[""B1"", ""B5"", ""E"", ""K""]","[""Iron"", ""Potassium"", ""Magnesium""]","[""Хороший источник пищевых волокон из овса и изюма""]","[""Высокое содержание сахара"", ""Высокая калорийность"", ""Умеренное содержание жира""]",40,"Из-за высокого содержания сахара и калорий, лучше всего употреблять небольшими порциями в качестве случайного лакомства.",,ru,,false,,,,изредка,regular,1,quarter,0.250,100,,0,0,0,0,0,0,,food_analysis_1749342598570,,
46,Банан,75.00,79.00,1.00,0.20,20.30,,false,2025-06-08 00:39:54.203788+00,2025-06-08 00:39:54.203788+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749342782374.jpg?alt=media&token=748a91e4-7e11-4b29-9cef-a2246ee773f5,2025060611433897080@nutrichecker.top,"[{""name"": ""банан""}]",Один средний банан на тарелке,10.50,2.30,0.00,51,0.10,"[""C"", ""B6""]","[""Potassium"", ""Manganese"", ""Magnesium""]","[""Хороший источник калия""]","[""Относительно высокое содержание природных сахаров""]",85,"Может включаться в ежедневный рацион как часть сбалансированной диеты, отлично подходит для быстрого прилива энергии или восстановления после тренировки.",,ru,,true,,,,ежедневно,regular,1,three_quarters,0.750,100,,0,0,0,0,0,0,,food_analysis_1749342794602,,
47,Сладкое печенье с овсом и изюмом,10.00,89.00,1.80,2.70,14.70,,false,2025-06-08 00:55:02.981551+00,2025-06-08 00:55:02.981551+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749344042529.jpg?alt=media&token=1a027983-c140-48ad-bea2-c81e487f1ec6,2025060611433897080@nutrichecker.top,"[{""name"": ""обогащенная пшеничная мука""}, {""name"": ""сахар""}, {""name"": ""изюм""}, {""name"": ""высокоолеиновое подсолнечное масло""}, {""name"": ""овсяные хлопья""}, {""name"": ""сухое обезжиренное молоко""}, {""name"": ""соль""}, {""name"": ""рисовая мука""}, {""name"": ""бикарбонат аммония""}, {""name"": ""бикарбонат натрия""}, {""name"": ""моно- и диглицериды жирных кислот""}, {""name"": ""соевый лецитин""}, {""name"": ""сложные эфиры пропиленгликоля жирных кислот""}, {""name"": ""калиевые соли жирных кислот""}, {""name"": ""метабисульфит натрия""}, {""name"": ""искусственный ароматизатор dulce de leche""}, {""name"": ""натуральный ароматизатор аниса""}]",Полная упаковка печенья,5.20,0.60,0.49,,2.70,"[""Thiamine (B1)"", ""Riboflavin (B2)"", ""Niacin (B3)"", ""Folic Acid""]","[""Iron""]","[""Источник клетчатки из овса""]","[""Высокое содержание сахара"", ""Содержит искусственные ароматизаторы""]",50,Употребляйте в умеренных количествах как часть сбалансированной диеты из-за высокого содержания сахара.,,ru,,false,,,,2-3 раза в неделю,regular,1,tenth,0.100,100,,0,0,0,0,0,0,,food_analysis_1749344072065,,
48,Клубный сэндвич,100.00,530.00,38.00,28.00,45.00,,false,2025-06-08 00:56:19.824086+00,2025-06-08 00:56:19.824086+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749344132195.jpg?alt=media&token=d5b4985b-7607-4c33-b1b4-5f80bbdd1017,2025060611433897080@nutrichecker.top,"[{""name"": ""тосты""}, {""name"": ""салат""}, {""name"": ""помидор""}, {""name"": ""красный лук""}, {""name"": ""мясная нарезка (вероятно""}, {""name"": ""индейка или ветчина)""}, {""name"": ""сыр""}, {""name"": ""майонез (предположительно)""}]",Две половинки большого сэндвича на тарелке,5.00,5.00,1.20,55,10.00,"[""A"", ""C"", ""B Vitamins"", ""D""]","[""Calcium"", ""Iron"", ""Potassium"", ""Sodium""]","[""Хороший источник белка""]","[""Может содержать много натрия из-за мясной нарезки и обработанного сыра"", ""умеренное содержание жира""]",70,Может быть сбалансированным вариантом питания. При возможности выбирайте цельнозерновой хлеб и нежирное мясо.,,ru,,false,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749344151093,,
49,Мини-багет,100.00,318.00,11.00,2.00,63.00,,false,2025-06-08 01:00:05.846094+00,2025-06-08 01:00:05.846094+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749344363317.jpg?alt=media&token=5f1c3dc1-d558-4006-b613-55b53b91b5a9,2025060610563760851@nutrichecker.top,"[""пшеничная мука"", ""вода"", ""дрожжи"", ""соль""]",Один мини-багет,3.00,3.00,0.60,75,0.50,[],"[""Iron""]","[""Хороший источник углеводов для энергии""]","[""Высокий гликемический индекс"", ""умеренное содержание натрия""]",55,"Может быть частью сбалансированной диеты, предпочтительно употреблять в умеренных количествах, и обычно предпочтительны варианты из цельного зерна.",,ru,,false,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749344381707,,
50,COLON Мальбек красное вино,5.00,32.00,0.00,0.00,0.20,,false,2025-06-08 01:01:07.834497+00,2025-06-08 01:01:07.834497+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749344432780.jpg?alt=media&token=d469dd67-0c4f-4ff3-9edc-bbb7ac0bff37,2025060610563760851@nutrichecker.top,"[{""name"": ""красное вино""}, {""name"": ""сульфиты""}]",Полная бутылка красного вина,0.20,,0.03,30,0.00,[],"[""Potassium""]","[[""Содержит антиоксиданты (ресвератрол)""]]","[""Содержит алкоголь"", ""Калорийность""]",50,"Употреблять умеренно, не рекомендуется для ежедневного употребления из-за содержания алкоголя.",,ru,,true,,,,редко,regular,1,sip,0.050,100,,0,0,0,0,0,0,,food_analysis_1749344448174,,
51,Мандарин,100.00,45.00,0.70,0.30,11.30,,false,2025-06-08 01:07:25.348593+00,2025-06-08 01:07:25.348593+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749344809982.jpg?alt=media&token=e664610b-c14d-4288-a74b-5d74338ff06e,2025060610563760851@nutrichecker.top,"[{""name"": ""мандарин""}]",Один мандарин,9.00,1.50,0.00,47,0.00,"[""C"", ""A""]","[""Potassium"", ""Calcium""]","[""Высокое содержание витамина С""]",[],90,Отлично подходит для ежедневного употребления в рамках здорового питания,,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749344824485,,
52,Яблоко,100.00,95.00,0.50,0.30,25.00,,false,2025-06-08 01:08:17.413451+00,2025-06-08 01:08:17.413451+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749344860359.jpg?alt=media&token=2c8d5758-8042-4c88-8e68-6c4642b8d87c,2025060610563760851@nutrichecker.top,"[{""name"": ""яблоко""}]",Одно среднее яблоко,19.00,4.40,0.00,36,0.05,"[""C"", ""K""]","[""Potassium"", ""Copper"", ""Manganese""]","[""Богато клетчаткой, способствующей пищеварению и сытости""]",[],90,Отличный ежедневный перекус или дополнение к блюдам для клетчатки и витаминов,,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749344873607,,
53,Смешанный зеленый салат с морковью и помидорами черри,100.00,70.00,3.00,0.50,12.00,,false,2025-06-08 01:18:22.191329+00,2025-06-08 01:18:22.191329+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749345458132.jpg?alt=media&token=14bce3f0-9831-42bd-9d59-7a284467c5c7,2025060610563760851@nutrichecker.top,"[""руккола"", ""тертая морковь"", ""помидоры черри""]",Средняя порция смешанного зеленого салата,5.00,3.50,0.05,15,0.00,"[""A"", ""C"", ""K""]","[""Potassium"", ""Calcium""]","[[""Богат витаминами А, С и К""]]",[],90,Отлично подходит в качестве гарнира или легкого приема пищи в рамках сбалансированной диеты.,,ru,,true,,,,ежедневно,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749345477574,,
54,Жареная утка,100.00,1400.00,88.00,105.00,0.00,,false,2025-06-08 01:20:40.880569+00,2025-06-08 01:20:40.880569+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749345589054.jpg?alt=media&token=666893fe-df91-4b8c-9a7a-37a3b631c27c,2025060610563760851@nutrichecker.top,"[""утка"", ""соевый соус"", ""мед"", ""порошок пяти специй"", ""имбирь"", ""чеснок"", ""соль"", ""перец""]","Большая порция жареной утки с кожей, подается с небольшим кусочком хлеба/булочки",0.00,,0.80,,35.00,"[""B3 (Niacin)"", ""B5 (Pantothenic Acid)"", ""B6"", ""B12""]","[""Iron"", ""Zinc"", ""Selenium"", ""Phosphorus""]","[[""Отличный источник белка""]]","[""Высокое содержание общего жира и насыщенных жиров"", ""Может быть высокое содержание натрия из-за приправ""]",60,Лучше всего употреблять в умеренных количествах из-за высокого содержания жира.,,ru,,true,,,,изредка,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1749345608584,,
55,Упакованные багеты,25.00,313.00,11.30,1.30,62.50,,false,2025-06-08 02:14:42.739+00,2025-06-08 02:14:42.739+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749348833387.jpg?alt=media&token=0f7dd875-0b4f-43c0-baf3-9924b54c3aa4,2025060610563760851@nutrichecker.top,"[{""name"": ""пшеничная мука""}, {""name"": ""вода""}, {""name"": ""дрожжи""}, {""name"": ""соль""}]","Упаковка, содержащая четыре маленьких багета",1.30,3.80,2.50,70,1.00,"[""B1"", ""B2"", ""B3""]","[""Iron"", ""Selenium""]","[""Хороший источник углеводов для энергии""]","[""Высокий гликемический индекс"", ""низкое содержание основных микроэлементов по сравнению с цельнозерновыми продуктами""]",50,"Может употребляться как часть сбалансированного питания, предпочтительно в умеренных количествах, в сочетании с белком и клетчаткой.",,ru,,false,,,,ежедневно (в умеренных количествах),regular,1,quarter,0.250,100,,0,0,0,0,0,0,,food_analysis_1749348849696,,
56,Сладкое печенье с овсом и изюмом,10.00,89.00,1.80,2.70,14.70,,false,2025-06-08 02:25:10.961916+00,2025-06-08 02:25:10.961916+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749349399297.jpg?alt=media&token=e288e031-1483-4d3c-b88f-6ca9c2ba0d6c,2025060610563760851@nutrichecker.top,"[{""name"": ""обогащенная пшеничная мука""}, {""name"": ""сахар""}, {""name"": ""изюм""}, {""name"": ""высокоолеиновое подсолнечное масло""}, {""name"": ""овсяные хлопья""}, {""name"": ""сухое обезжиренное молоко""}, {""name"": ""соль""}, {""name"": ""рисовая мука""}, {""name"": ""гидрокарбонат аммония""}, {""name"": ""гидрокарбонат натрия""}, {""name"": ""моно- и диглицериды жирных кислот""}, {""name"": ""соевый лецитин""}, {""name"": ""сложные эфиры жирных кислот пропиленгликоля""}, {""name"": ""калиевые соли жирных кислот""}, {""name"": ""пиросульфит натрия""}, {""name"": ""ароматизатор искусственного сладкого молока""}, {""name"": ""натуральный ароматизатор аниса""}]",Полная упаковка печенья,5.20,0.80,0.50,,2.69,"[""Thiamine"", ""Riboflavin"", ""Niacin"", ""Folate""]","[""Iron""]","[""Содержит овес, который является хорошим источником клетчатки""]","[""Высокое содержание сахара"", ""содержит обработанные ингредиенты""]",55,"Лучше всего употреблять в умеренных количествах как часть сбалансированной диеты, из-за высокого содержания сахара.",,ru,,false,,,,2-3 раза в неделю,regular,1,tenth,0.100,100,,0,0,0,0,0,0,,food_analysis_1749349431488,,
57,Смесь для хлопьев Avena & Pasas Cookies,10.00,92.00,1.20,4.50,13.00,,false,2025-06-08 02:28:24.906332+00,2025-06-08 02:28:24.906332+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1749349639921.jpg?alt=media&token=983d331b-ca01-40ea-9ae1-5c8ef09fa822,2025060610563760851@nutrichecker.top,"[{""name"": ""Цельнозерновой овес""}, {""name"": ""Изюм""}, {""name"": ""Подсолнечное масло с высоким содержанием олеиновой кислоты""}, {""name"": ""Сахар""}, {""name"": ""Пшеничная мука""}, {""name"": ""Разрыхлители""}]",Полная упаковка сладкого печенья с овсом и изюмом,7.00,0.80,0.30,60,15.00,"[""B1"", ""B3"", ""B5"", ""E""]","[""Iron"", ""Magnesium"", ""Potassium""]","[""Источник энергии""]","[""Высокое содержание сахара"", ""Высокая калорийность"", ""Высокое содержание жира""]",35,Лучше всего употреблять в небольших количествах в качестве редкого лакомства из-за высокого содержания сахара и калорий.,,ru,,false,,,,изредка,regular,1,tenth,0.100,100,,0,0,0,0,0,0,,food_analysis_1749349659513,,
